module	verdict	reason	sources	nodes	outputs	flops	mems	inputs	check_ms	step1_ms	run_ms	cycles	wall_s	rss_kb	path
minion_dcache_pma_unit	ACCEPTED		387	532	1	0	0	6	12	16	43	4	2.8	556044	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/minion_dcache_pma_unit_Lgraph.lean
minion_dcache_reduce	ACCEPTED		2567	2945	42	64	4	28	59	223	781	4	19.8	922332	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/minion_dcache_reduce_Lgraph.lean
minion_dcache_scratchpad_ctrl	ACCEPTED		140	165	10	3	0	5	5	4	13	4	2.5	494552	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/minion_dcache_scratchpad_ctrl_Lgraph.lean
minion_dcache_store_merge_unit	ACCEPTED		3011	3152	1	0	0	7	48	187	754	4	18.2	963188	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/minion_dcache_store_merge_unit_Lgraph.lean
minion_dcache_tensor_load	ACCEPTED		9349	11424	27	112	0	21	194	635	2331	4	145.8	2227968	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/minion_dcache_tensor_load_Lgraph.lean
minion_dcache_tensor_load	ACCEPTED		9349	11424	27	112	0	21	192	633	2317	4	155.2	2198840	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/minion_dcache_tensor_load_Lgraph.lean
minion_dcache_texsend	ACCEPTED		7	0	7	0	0	0	1	0	0	4	1.4	472804	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/minion_dcache_texsend_Lgraph.lean
minion_dcache_writeback_unit	ACCEPTED		329	357	6	15	0	8	11	38	101	4	2.9	529908	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/minion_dcache_writeback_unit_Lgraph.lean
minion_debug_apb_slv	ACCEPTED		617	695	8	8	0	10	17	33	91	4	4.2	586124	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/minion_debug_apb_slv_Lgraph.lean
minion_frontend_rvc_expander	ACCEPTED		1721	1829	1	0	0	1	23	80	333	4	11.9	748520	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/minion_frontend_rvc_expander_Lgraph.lean
minion_frontend_thread_sched	ACCEPTED		32	36	2	2	0	5	1	1	1	4	1.4	476796	/soe/czeng14/projects/livehd-new/generated/vc_async_check/lean/minion_frontend_thread_sched_Lgraph.lean
mult_gate	ACCEPTED		3870	4202	4	19	0	5	63	534	1996	4	34.9	1164448	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/mult/lean/mult_gate_Lgraph.lean
multiplier_gate	ACCEPTED		2132	2329	3	6	0	7	31	329	1228	4	14.3	853592	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/multiplier/lean/multiplier_gate_Lgraph.lean
null_vpu	ACCEPTED		10	0	10	0	0	0	1	0	1	4	1.6	471460	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/null_vpu_Lgraph.lean
perf_counters_gate	ACCEPTED		1652	1959	1	12	0	24	39	204	722	4	12.0	758496	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/perf_counters/lean/perf_counters_gate_Lgraph.lean
pmp_data_if_gate	ACCEPTED		4056	4499	4	0	0	13	70	212	798	4	33.3	1163840	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/pmp_data_if/lean/pmp_data_if_gate_Lgraph.lean
pmp_entry_gate	ACCEPTED		264	297	1	0	0	4	9	18	40	4	2.7	517564	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/pmp_entry/lean/pmp_entry_gate_Lgraph.lean
pmp_gate	ACCEPTED		2881	3213	1	0	0	5	47	105	436	4	21.7	954128	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/pmp/lean/pmp_gate_Lgraph.lean
ras_gate	ACCEPTED		57	54	1	4	0	6	2	13	46	4	1.7	483572	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/ras/lean/ras_gate_Lgraph.lean
raw_checker_gate	ACCEPTED		304	353	2	0	0	8	10	15	37	4	2.6	524164	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/raw_checker/lean/raw_checker_gate_Lgraph.lean
scoreboard_gate	ACCEPTED		9340	9584	10	235	0	19	170	31935	127489	4	397.9	2006200	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/scoreboard/lean/scoreboard_gate_Lgraph.lean
serdiv_gate	ACCEPTED		1082	1180	4	12	0	9	34	51	188	4	7.9	656068	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/serdiv/lean/serdiv_gate_Lgraph.lean
store_buffer_gate	ACCEPTED		1331	1387	7	62	0	14	31	621	2450	4	14.4	681128	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/store_buffer/lean/store_buffer_gate_Lgraph.lean
store_unit_gate	ACCEPTED		2273	2448	17	76	0	15	39	698	2689	4	22.7	866204	/soe/czeng14/projects/livehd-new/generated/cva6_vc/mod/store_unit/lean/store_unit_gate_Lgraph.lean
tima_adder	ACCEPTED		5	4	1	0	0	2	0	1	1	4	1.3	472180	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/tima_adder_Lgraph.lean
tima_top	ACCEPTED		691	706	1	7	0	10	22	37	102	4	4.6	583928	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/tima_top_Lgraph.lean
trans_exp_rom_case_c0	ACCEPTED		11	11	1	0	0	1	1	2	3	4	1.9	474232	/soe/czeng14/projects/livehd-new/generated/rom_implementation_review/actual_export/lean/trans_exp_rom_case_c0_Lgraph.lean
trans_exp_rom_case_c0	ACCEPTED		11	11	1	0	0	1	1	2	3	4	1.6	476688	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/trans_exp_rom_case_c0_Lgraph.lean
trans_exp_rom_case_c1c2	ACCEPTED		21	20	1	0	0	1	1	2	8	4	1.9	476248	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/trans_exp_rom_case_c1c2_Lgraph.lean
trans_log_rom_case_c0	ACCEPTED		11	11	1	0	0	1	1	1	4	4	1.7	475308	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/trans_log_rom_case_c0_Lgraph.lean
trans_log_rom_case_c1c2	ACCEPTED		21	20	1	0	0	1	0	4	11	4	1.7	480188	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/trans_log_rom_case_c1c2_Lgraph.lean
trans_rcp_rom_case_c0	ACCEPTED		7	7	1	0	0	1	0	2	1	4	1.3	475692	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/trans_rcp_rom_case_c0_Lgraph.lean
trans_rcp_rom_case_c1c2	ACCEPTED		21	20	1	0	0	1	1	4	10	4	1.3	474896	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/trans_rcp_rom_case_c1c2_Lgraph.lean
trans_rsqrt_rom_case_c0	ACCEPTED		6	6	1	0	0	1	0	3	4	4	2.2	480100	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/trans_rsqrt_rom_case_c0_Lgraph.lean
trans_rsqrt_rom_case_c1c2	ACCEPTED		20	19	1	0	0	1	1	8	16	4	1.6	481012	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/trans_rsqrt_rom_case_c1c2_Lgraph.lean
trans_sin_rom_case_c0	ACCEPTED		24	23	1	0	0	1	1	3	9	4	1.6	473976	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/trans_sin_rom_case_c0_Lgraph.lean
trans_sin_rom_case_c1c2	ACCEPTED		30	28	1	0	0	1	1	5	17	4	1.7	481028	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/trans_sin_rom_case_c1c2_Lgraph.lean
trans_top	ACCEPTED		788	753	1	96	0	5	15	41	135	4	6.0	615000	/soe/czeng14/projects/livehd-new/generated/vc_sweep2/lean/trans_top_Lgraph.lean
txfma_4_2_compressor	ACCEPTED		33	42	3	0	0	5	2	2	4	4	1.6	476740	/soe/czeng14/projects/livehd-new/generated/vc_sweep/lean/txfma_4_2_compressor_Lgraph.lean
